rank,city,population,area_km2,area_sq_miles,density_per_km2,density_per_sq_mile,country
1,Levallois-Perret,66082,2.41,0.93,27420,71056,France
2,Emperador,692,0.03,0.01,23067,69200,Spain
3,L'Hospitalet de Llobregat,264923,12.4,4.8,21364,55599,Spain
4,Paris,2203817,105.4,40.5,20909,54415,France
5,Mislata,43278,2.1,0.81,20608,53430,Spain
6,Benetússer,14668,0.76,0.29,19300,50579,Spain
7,Athens,745514,38.96,15.04,19135,49560,Greece
8,Sliema,22591,1.3,0.5,17377,45182,Malta
9,Thessaloniki,325182,19.31,7.45,16840,43648,Greece
10,Barcelona,1621537,101.9,39.3,15991,41417,Spain
11,Korydallos,63445,4.32,1.67,14686,37991,Greece
12,Senglea,2784,0.2,0.077,13920,36062,Malta
13,Nikaia,89380,6.65,2.57,13441,34778,Greece
14,Odivelas,59604,5.02,2.04,11873,30589,Portugal
15,Casavatore,18225,1.54,0.63,11818,28928,Italy
16,Portici,51901,4.56,1.75,11393,29658,Italy
17,Lyon,500715,47.87,18.48,10460,27095,France
18,Melito di Napoli,36334,3.57,2.23,10172,16293,Italy
19,Cádiz,116979,12.1,4.67,9700,25000,Spain
20,San Giorgio a Cremano,42096,4.71,1.59,8938,26475,Italy
21,Piraeus,448997,50.42,19.47,8906,23061,Greece
22,Grenoble,158240,18.13,7.0,8700,23000,France
23,Bilbao,353187,40.65,15.7,8688,22496,Spain
24,Bucharest,1926334,228.0,88.03,8449,21883,Romania
25,Naples,913704,116.72,45.28,7828,20178,Italy
26,Agualva-Cacém,81020,10.42,3.9,7775,19874,Portugal
27,Milan,1371499,181.64,70.18,7551,19474,Italy
28,Brussels,1212352,162.4,62.3,7465,19460,Belgium
29,Bresso,26282,3.54,2.21,7415,11838,Italy
30,Fuengirola,75396,10.2,3.9,7400,19000,Spain
31,Porto,287591,41.42,15.99,6900,18000,Portugal
32,Turin,851199,130.11,50.26,6542,16936,Italy
33,A Coruña,246056,37.83,14.61,6510,16841,Spain
34,Lisbon,505526,100.05,39.0,6446,16696,Portugal
35,The Hague,527748,98.12,37.88,6445,16690,Netherlands
36,Valencia,780834,134.65,51.99,5799,15019,Spain
37,Amsterdam,931748,165.76,64.0,5621,14558,Netherlands
38,Madrid,3141991,604.3,233.3,5390,14000,Spain
39,Bordeaux,250776,49.36,19.06,5081,13160,France
40,Seville,703021,140.0,54.05,5022,13007,Spain
41,Stockholm,942370,188.0,73.0,5012,12909,Sweden
42,Montpellier,275318,56.88,21.96,4840,12536,France
43,Dublin,553165,114.99,44.4,4811,12460,Ireland
44,Nice,343895,71.92,27.77,4782,12385,France
45,Munich [ 4 ],1471508,310.7,119.96,4736,12267,Germany
47,Vienna,1889083,414.65,160.1,4556,11800,Austria
48,Copenhagen,671673,92.4,35.68,7269,18825,Denmark
49,Ottobrunn [ 4 ],21542,5.23,2.02,4119,10664,Germany
50,Malmö,316588,77.0605,29.75,4108,10642,Sweden
51,Berlin [ 4 ],3644826,891.12,344.06,4090,10594,Germany
52,Toulouse,479638,118.3,45.68,4054,10450,France
53,Linköping,166673,42.16,16.28,4000,10000,Sweden
54,Palermo,630427,160.15,62.0,3936,10168,Italy
55,Świętochłowice [ 5 ],50012,13.31,5.14,3757,9732,Poland
56,Uppsala,177074,48.77,18.83,3600,9400,Sweden
57,Lund,94393,26.37,10.18,3580,9300,Sweden
58,Saint-Nicolas,24251,6.89,2.66,3518,9117,Belgium
59,Pescara,118461,34.39,13.27,3445,9000,Italy
60,Warsaw [ 5 ],1777972,517.24,199.71,3421,8860,Poland
61,Mortsel,25824,7.7,2.97,3355,8695,Belgium
62,Plovdiv,346893,101.98,39.37,3349,8674,Bulgaria
63,Budapest,1752286,525.14,202.76,3337,8642,Hungary
64,Chorzów [ 5 ],108434,33.24,12.83,3262,8449,Poland
65,Gröbenzell [ 4 ],19967,6.36,2.46,3139,8117,Germany
66,Helsinki,665558,213.75,82.53,3113,8064,Finland
67,Stuttgart [ 4 ],634830,207.33,80.05,3062,7930,Germany
68,Herne [ 4 ],156374,51.42,19.85,3041,7878,Germany
69,Frankfurt am Main [ 4 ],753056,248.31,95.87,3033,7855,Germany
